"ID","NAME","DISP_ORDER"
"1","Unix","0"
"2","Unix (AIX)","1"
"3","Unix (Solaris)","2"
"4","Linux","3"
"5","Linux (CentOS)","4"
"6","Linux (Red Hat系)","5"
"7","Linux (Debian系)","6"
"8","Linux (Slack系)","7"
"9","Linux (Knoopix系)","8"
"10","BSD系","9"
"11","Windows 7","10"
"12","Windows Vista","11"
"13","Windows XP","12"
"14","Windows 2000","13"
"15","Windows 98","14"
"16","Windows 95","15"
"17","Windows NT","16"
"18","Windows 3.1","17"
"19","DOS","18"
"20","OS2","18"
"21","MacOS系","19"
